account_id,segment,cac,nrr,deal_size
0,SMB,900,82,300
1,Mid-Market,4291,113,1567
2,Enterprise,18346,130,9274
3,SMB,1059,97,423
4,Mid-Market,4564,104,1768
5,Enterprise,18865,117,9685
6,SMB,1218,94,546
7,Mid-Market,4837,111,1969
8,Enterprise,19384,124,10096
9,SMB,1377,91,669
10,Mid-Market,5110,102,2170
11,Enterprise,19903,131,10507
12,SMB,1536,88,792
13,Mid-Market,5383,109,2371
14,Enterprise,20422,118,10918
15,SMB,1695,85,915
16,Mid-Market,5656,100,2572
17,Enterprise,20941,125,11329
18,SMB,1854,82,1038
19,Mid-Market,5929,107,2773
20,Enterprise,21460,112,11740
21,SMB,2013,97,1161
22,Mid-Market,6202,114,2974
23,Enterprise,21979,119,12151
24,SMB,2172,94,384
25,Mid-Market,6475,105,3175
26,Enterprise,22498,126,12562
27,SMB,2331,91,507
28,Mid-Market,6748,112,3376
29,Enterprise,23017,113,12973
30,SMB,2490,88,630
31,Mid-Market,7021,103,3577
32,Enterprise,23536,120,13384
33,SMB,1049,85,753
34,Mid-Market,7294,110,3778
35,Enterprise,24055,127,13795
36,SMB,1208,82,876
37,Mid-Market,7567,101,3979
38,Enterprise,24574,114,14206
39,SMB,1367,97,999
40,Mid-Market,7840,108,4180
41,Enterprise,25093,121,14617
42,SMB,1526,94,1122
43,Mid-Market,8113,115,4381
44,Enterprise,25612,128,15028
45,SMB,1685,91,345
46,Mid-Market,8386,106,4582
47,Enterprise,26131,115,15439
48,SMB,1844,88,468
49,Mid-Market,8659,113,4783
50,Enterprise,26650,122,15850
51,SMB,2003,85,591
52,Mid-Market,8932,104,4984
53,Enterprise,27169,129,16261
54,SMB,2162,82,714
55,Mid-Market,4205,111,5185
56,Enterprise,27688,116,16672
57,SMB,2321,97,837
58,Mid-Market,4478,102,5386
59,Enterprise,28207,123,17083
