month,i,new_mrr,expansion_mrr,contraction_mrr,churned_mrr,starting_mrr,ending_mrr
2024-09-01,0,60000.0,26000.0,-4100.0,-41900.0,1305000.0,1345000.0
2024-10-01,1,68726.31,29522.41,-4902.09,-45440.67,1345000.0,1392905.96
2024-11-01,2,63126.69,28273.0,-4827.65,-45727.15,1392905.96,1433750.85
2024-12-01,3,54641.67,25352.75,-3958.03,-46173.84,1433750.85,1463613.4
2025-01-01,4,49682.33,22090.4,-3243.56,-48835.56,1463613.4,1483307.01
2025-02-01,5,45174.19,19755.86,-3465.01,-47066.62,1483307.01,1497705.43
2025-03-01,6,41897.07,19004.8,-4380.39,-40967.79,1497705.43,1513259.12
2025-04-01,7,46667.08,19695.52,-4989.35,-39581.93,1513259.12,1535050.44
2025-05-01,8,56573.64,21127.19,-4626.43,-43262.69,1535050.44,1564862.15
2025-06-01,9,61285.25,22515.21,-3688.22,-43907.95,1564862.15,1601066.44
2025-07-01,10,60617.65,23409.84,-3200.01,-41789.96,1601066.44,1640103.96
2025-08-01,11,60686.38,23830.82,-3695.32,-42408.16,1640103.96,1678517.68
2025-09-01,12,59260.49,24085.1,-4632.87,-42860.41,1678517.68,1714369.99
2025-10-01,13,53300.02,24431.12,-4988.09,-39693.6,1714369.99,1747419.44
2025-11-01,14,49797.85,24834.22,-4372.81,-39401.08,1747419.44,1778277.62
2025-12-01,15,53036.57,24978.24,-3459.39,-45465.27,1778277.62,1807367.77
2026-01-01,16,55515.47,24517.1,-3246.04,-49644.41,1807367.77,1834509.89
2026-02-01,17,53210.35,23384.12,-3965.9,-47736.07,1834509.89,1859402.39
2026-03-01,18,52294.28,21934.76,-4832.31,-46244.49,1859402.39,1882554.63
2026-04-01,19,53986.59,20804.8,-4898.44,-46609.08,1882554.63,1905838.5
2026-05-01,20,52600.55,20554.77,-4092.03,-42861.89,1905838.5,1932039.9
2026-06-01,21,50538.31,21319.0,-3294.33,-37128.76,1932039.9,1963474.12
2026-07-01,22,54675.73,22689.57,-3377.07,-37023.07,1963474.12,2000439.28
2026-08-01,23,60731.47,23927.45,-4249.83,-40313.96,2000439.28,2040534.41
