month,scenario,mrr
2026-08-01,aggressive,1529000.0
2026-08-01,baseline,1529000.0
2026-08-01,downside,1529000.0
2026-09-01,aggressive,1580986.0
2026-09-01,baseline,1561109.0
2026-09-01,downside,1542761.0
2026-10-01,aggressive,1634739.52
2026-10-01,baseline,1593892.29
2026-10-01,downside,1556645.85
2026-11-01,aggressive,1690320.67
2026-11-01,baseline,1627364.03
2026-11-01,downside,1570655.66
2026-12-01,aggressive,1747791.57
2026-12-01,baseline,1661538.67
2026-12-01,downside,1584791.56
2027-01-01,aggressive,1807216.48
2027-01-01,baseline,1696430.98
2027-01-01,downside,1599054.69
2027-02-01,aggressive,1868661.84
2027-02-01,baseline,1732056.03
2027-02-01,downside,1613446.18
2027-03-01,aggressive,1932196.35
2027-03-01,baseline,1768429.21
2027-03-01,downside,1627967.19
2027-04-01,aggressive,1997891.02
2027-04-01,baseline,1805566.22
2027-04-01,downside,1642618.9
2027-05-01,aggressive,2065819.32
2027-05-01,baseline,1843483.12
2027-05-01,downside,1657402.47
2027-06-01,aggressive,2136057.17
2027-06-01,baseline,1882196.26
2027-06-01,downside,1672319.09
2027-07-01,aggressive,2208683.12
2027-07-01,baseline,1921722.38
2027-07-01,downside,1687369.96
2027-08-01,aggressive,2283778.34
2027-08-01,baseline,1962078.55
2027-08-01,downside,1702556.29
