i,month,blended_nrr,enterprise_nrr,midmarket_nrr,smb_nrr
0,2024-09-01,106.2,112.0,103.0,100.0
1,2024-10-01,107.1,113.3,103.9,99.8
2,2024-11-01,107.2,114.4,104.4,97.2
3,2024-12-01,107.3,115.1,104.5,95.9
4,2025-01-01,107.7,115.3,104.1,97.6
5,2025-02-01,107.7,115.2,103.5,98.3
6,2025-03-01,107.2,114.9,103.1,97.0
7,2025-04-01,107.2,114.7,103.1,97.3
8,2025-05-01,107.8,114.7,103.7,98.8
9,2025-06-01,108.0,115.2,104.6,97.4
10,2025-07-01,108.2,116.2,105.5,94.5
11,2025-08-01,108.9,117.4,106.0,94.1
12,2025-09-01,109.7,118.7,106.0,94.2
13,2025-10-01,109.9,119.9,105.6,92.1
14,2025-11-01,109.9,120.8,105.0,90.8
15,2025-12-01,110.4,121.2,104.6,92.6
16,2026-01-01,110.6,121.2,104.7,93.7
17,2026-02-01,110.4,121.0,105.3,92.3
18,2026-03-01,110.5,120.7,106.2,92.1
19,2026-04-01,111.0,120.6,107.0,93.3
20,2026-05-01,111.2,120.9,107.6,91.9
21,2026-06-01,111.2,121.7,107.6,88.8
22,2026-07-01,111.7,122.8,107.2,88.2
23,2026-08-01,112.3,124.1,106.6,88.7
