month,i,segment,mrr,nrr,gross_churn_rate,logos
2024-09-01,0,Enterprise,600000.0,112.0,1.1,90
2024-09-01,0,Mid-Market,400000.0,103.0,1.6,140
2024-09-01,0,SMB,345000.0,100.0,1.6,700
2024-10-01,1,Enterprise,627469.64,113.3,1.21,97
2024-10-01,1,Mid-Market,413814.83,103.9,1.71,150
2024-10-01,1,SMB,351621.49,99.8,2.15,695
2024-11-01,2,Enterprise,651980.59,114.4,1.23,102
2024-11-01,2,Mid-Market,426573.24,104.4,1.65,158
2024-11-01,2,SMB,355197.02,97.2,2.0,675
2024-12-01,3,Enterprise,671607.71,115.1,1.14,104
2024-12-01,3,Mid-Market,437477.45,104.5,1.5,165
2024-12-01,3,SMB,354528.24,95.9,2.16,754
2025-01-01,4,Enterprise,686131.95,115.3,1.0,104
2025-01-01,4,Mid-Market,446183.68,104.1,1.48,169
2025-01-01,4,SMB,350991.38,97.6,2.21,698
2025-02-01,5,Enterprise,697116.8,115.2,0.91,103
2025-02-01,5,Mid-Market,452886.25,103.5,1.6,171
2025-02-01,5,SMB,347702.38,98.3,1.85,644
2025-03-01,6,Enterprise,707362.19,114.9,0.93,103
2025-03-01,6,Mid-Market,458270.08,103.1,1.69,171
2025-03-01,6,SMB,347626.85,97.0,2.24,725
2025-04-01,7,Enterprise,719926.36,114.7,1.04,105
2025-04-01,7,Mid-Market,463342.95,103.1,1.61,171
2025-04-01,7,SMB,351781.13,97.3,2.78,708
2025-05-01,8,Enterprise,737057.53,114.7,1.15,110
2025-05-01,8,Mid-Market,469188.78,103.7,1.47,172
2025-05-01,8,SMB,358615.84,98.8,2.81,704
2025-06-01,9,Enterprise,759408.53,115.2,1.17,117
2025-06-01,9,Mid-Market,476702.23,104.6,1.47,175
2025-06-01,9,SMB,364955.68,97.4,3.19,818
2025-07-01,10,Enterprise,785808.77,116.2,1.07,124
2025-07-01,10,Mid-Market,486369.68,105.5,1.61,180
2025-07-01,10,SMB,367925.51,94.5,3.33,795
2025-08-01,11,Enterprise,813673.12,117.4,0.94,129
2025-08-01,11,Mid-Market,498150.14,106.0,1.67,188
2025-08-01,11,SMB,366694.42,94.1,2.86,750
2025-09-01,12,Enterprise,839905.02,118.7,0.85,131
2025-09-01,12,Mid-Market,511485.26,106.0,1.56,197
2025-09-01,12,SMB,362979.71,94.2,3.04,814
2025-10-01,13,Enterprise,861978.15,119.9,0.87,131
2025-10-01,13,Mid-Market,525436.08,105.6,1.43,207
2025-10-01,13,SMB,360005.21,92.1,3.4,761
2025-11-01,14,Enterprise,878818.98,120.8,0.98,130
2025-11-01,14,Mid-Market,538912.88,105.0,1.47,217
2025-11-01,14,SMB,360545.76,90.8,3.44,726
2025-12-01,15,Enterprise,891181.78,121.2,1.09,130
2025-12-01,15,Mid-Market,550942.0,104.6,1.61,224
2025-12-01,15,SMB,365243.99,92.6,4.01,831
2026-01-01,16,Enterprise,901385.1,121.2,1.11,132
2026-01-01,16,Mid-Market,560904.22,104.7,1.64,230
2026-01-01,16,SMB,372220.57,93.7,4.35,828
2026-02-01,17,Enterprise,912501.88,121.0,1.01,137
2026-02-01,17,Mid-Market,568686.38,105.3,1.51,233
2026-02-01,17,SMB,378214.13,92.3,3.98,820
2026-03-01,18,Enterprise,927285.96,120.7,0.87,144
2026-03-01,18,Mid-Market,574709.07,106.2,1.4,234
2026-03-01,18,SMB,380559.6,92.1,4.06,914
2026-04-01,19,Enterprise,947210.07,120.6,0.79,151
2026-04-01,19,Mid-Market,579823.64,107.0,1.47,234
2026-04-01,19,SMB,378804.79,93.3,4.19,867
2026-05-01,20,Enterprise,971951.41,120.9,0.81,156
2026-05-01,20,Mid-Market,585103.81,107.6,1.6,235
2026-05-01,20,SMB,374984.68,91.9,4.06,810
2026-06-01,21,Enterprise,999504.35,121.7,0.92,158
2026-06-01,21,Mid-Market,591582.74,107.6,1.61,236
2026-06-01,21,SMB,372387.03,88.8,4.65,879
2026-07-01,22,Enterprise,1026881.1,122.8,1.03,158
2026-07-01,22,Mid-Market,600000.09,107.2,1.47,240
2026-07-01,22,SMB,373558.09,88.2,5.16,847
2026-08-01,23,Enterprise,1051155.44,124.1,1.04,157
2026-08-01,23,Mid-Market,610620.93,106.6,1.38,246
2026-08-01,23,SMB,378758.04,88.7,5.0,835
