cohort,months_since_signup,retention_pct
2025-09,0,100
2025-09,1,88
2025-09,2,74
2025-09,3,62
2025-09,4,56
2025-09,5,52
2025-09,6,49
2025-10,0,99
2025-10,1,87
2025-10,2,73
2025-10,3,61
2025-10,4,55
2025-10,5,51
2025-10,6,48
2025-11,0,97
2025-11,1,85
2025-11,2,71
2025-11,3,59
2025-11,4,53
2025-11,5,49
2025-11,6,46
2025-12,0,96
2025-12,1,84
2025-12,2,70
2025-12,3,58
2025-12,4,52
2025-12,5,48
2025-12,6,45
2026-01,0,94
2026-01,1,82
2026-01,2,68
2026-01,3,56
2026-01,4,50
2026-01,5,46
2026-01,6,43
2026-02,0,93
2026-02,1,81
2026-02,2,67
2026-02,3,55
2026-02,4,49
2026-02,5,45
2026-02,6,42
